# id	left	top	right	bottom	texture_id

[SPRITES]
# SYMBOL START
80000	4	143	19	158	80

# SCENE 1 -> 10
80010	21	143	36	158	80
80011	38	143	53	158	80
80012	55	143	70	158	80
80013	72	143	87	158	80
80014	89	143	104	158	80
80015	106	143	121	158	80
80016	123	143	138	158	80
80017	140	143	155	158	80
80018	157	143	172	158	80
80019	174	143	189	158	80

# SYMBOL ACE
80020	140	160	155	175	80

# GATE
80021	157	160	172	175	80

# DOOR
80022	4	177	19	192	80

# MUSHROOM HOUSE
80023	21	177	36	192	80


##### CASTLE #####
# BODY
80024	89	177	104	192	80

# TOP
80025	106	177	121	192	80


# SYMBOL HELP
80026	123	177	138	192	80
80027	112	298	113	299	80


##### PATH TILES #####
# HORIZONTAL
80030	4	227	19	242	80

# VERTICAL
80031	21	227	36	242	80

# SEED
80032	38	227	53	242	80

# HORIZONTAL WITH SEED
80033	55	227	70	242	80

# VERTICAL WITH SEED
80034	72	227	87	242	80

# HORIZONTAL AND VERTICAL WITH SEED
80035	89	227	104	242	80


##### GRASS LAND #####
# Map border
# Top
80100	321	492	328	499	80
80101	330	492	337	499	80
80102	339	492	346	499	80

# Middle
80110	321	501	328	508	80
80111	339	501	346	503	80

# Bottom
80120	321	510	328	517	80
80121	330	510	337	517	80
80122	339	510	346	517	80

# Background color
80200	151	327	166	342	80

# Grass
80300	4	310	19	325	80
80301	21	310	36	325	80
80302	38	310	53	325	80
80303	55	310	70	325	80

# Mountain
80310	72	310	87	325	80

# Bridge
80320	89	310	104	325	80

# Drain
# Top 
80400	107	310	114	317	80
80401	116	310	123	317	80
80402	125	310	132	317	80
80403	134	310	141	317	80

# Middle 1
80410	107	319	114	326	80
80411	116	319	123	326	80
80412	125	319	132	326	80
80413	134	319	141	326	80

# Middle 2	
80420	107	328	114	335	80
80421	116	328	123	335	80
80422	125	328	132	335	80
80423	134	328	141	335	80

# Bottom	
80430	107	337	114	344	80
80431	116	337	123	344	80
80432	125	337	132	344	80
80433	134	337	141	344	80

# Enemy
# Right
80500	157	195	172	210	80
80501	174	195	189	210	80

# left
80502	38	177	53	192	80
80503	55	177	70	192	80




# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
# Grass dancing
20000	80300	300	80301	300	80302	300	80303	300

# Help
20001	80026	500	80027	500

# Enemy walking right
20002	80500	100	80501	100

# Enemy walking left
20003	80502	100	80503	100
