# id	left	top	right	bottom	texture_id

[SPRITES]
##### MAIN HUD #####
70000	11	127	164	156	70

# Gift box blue
70001	172	127	195	156	70

# Symbol Mario & Lugi
70010	16	161	31	168	70
70011	16	171	31	178	70

# Arrow white & black
70020	64	162	71	169	70
70021	91	162	98	169	70

# P white & black
70025	73	162	88	169	70
70026	100	162	115	169	70


##### FONT #####
# Number
75100	77	31	84	38	70
75101	88	31	93	38	70
75102	97	31	104	38	70
75103	107	31	114	38	70
75104	117	31	124	38	70
75105	127	31	134	38	70
75106	137	31	144	38	70
75107	147	31	154	38	70
75108	157	31	164	38	70
75109	167	31	174	38	70

# Point
75201	60	88	73	97	70
75202	74	88	87	97	70
75203	89	88	102	97	70
75204	104	88	117	97	70
75205	119	88	136	97	70
75206	137	88	154	97	70
75207	156	88	173	97	70
75208	175	88	192	97	70
75209	194	88	211	97	70

# Pause
75300	159	324	230	339	70




# ani_id 	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
# P changing color (black <-> white)
8888	70025	100	70026	100
