# id	left	top	right	bottom	texture_id

[SPRITES]
# Stage
0	258	188	513	223	90

# Black screen
1	258	0	513	186	90

# Game Name
2	324	281	503	352	90

# Number 3
3	194	362	235	403	90
4	240	362	281	403	90
5	287	362	328	403	90
6	333	362	374	403	90

# TM
7	437	353	446	360	90

# Curtain
10	258	226	513	241	90
11	258	243	513	258	90
12	258	260	513	273	90

# Tree
# Left
20	2	384	65	447	90

# Right
21	68	352	131	447	90

# Cloud
# Big
30	159	422	190	437	90

# Small
31	194	426	209	433	90

# 1 player game
40	30	307	141	330	90

# 2 player game
41	155	307	266	330	90




# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
25000	3	200	4	200	5	200	6	200
