# id	left	top	right	bottom	texture_id

[SPRITES]
##### DIE #####
110000	415	28	432	43	0


##### SMALL #####
# IDLE
121100	1413	29	1426	44	0
121200	253	29	266	44	0

# WALK LEFT & RIGHT
122100	1396	28	1411	43	0
122200	269	28	284	43	0

# RUN LEFT
123110	1340	28	1357	43	0
123120	1322	28	1339	43	0

# RUN RIGHT
123210	322	28	339	43	0
123220	340	28	357	43	0

# JUMP WALK LEFT & RIGHT
124110	1359	28	1376	43	0
124120	303	28	320	43	0

# JUMP RUN LEFT & RIGHT 
124210	1303	28	1320	43	0
124220	359	28	376	43	0

# BRACE LEFT & RIGHT
125100	1378	28	1393	43	0
125200	286	28	301	43	0

# KICK LEFT & RIGHT
126100	1193	28	1210	43	0
126200	469	28	486	43	0

# HOLD LEFT
127110	1230	28	1245	43	0
127120	1213	28	1228	43	0

# HOLD RIGHT
127210	434	28	449	43	0
127220	452	28	467	43	0

# GET INTO PIPE
128000	396	28	413	43	0

# WALKING IN WORLDMAP
129010	219	28	234	43	0
129020	236	28	251	43	0	


##### BIG #####
# IDLE
131100	1468	78	1483	105	0
131200	196	78	211	105	0

# WALK LEFT
132110	1449	78	1466	105	0
132120	1430	78	1447	105	0

# WALK RIGHT
132210	213	78	230	105	0
132220	232	78	249	105	0

# RUN LEFT
133110	1369	78	1390	105	0
133120	1348	78	1369	105	0
133130	1324	78	1345	105	0

# RUN RIGHT
133210	288	78	309	105	0
133220	310	78	331	105	0
133230	333	78	354	105	0

# JUMP WALK LEFT & RIGHT
134110	1392	78	1409	105	0
134120	270	78	287	105	0

# JUMP RUN LEFT & RIGHT
134210	1302	78	1323	105	0
134220	355	78	376	105	0

# SIT LEFT & RIGHT 
135100	1286	86	1301	105	0
135200	378	86	393	105	0

# BRACE LEFT & RIGHT
136100	1411	76	1428	105	0
136200	251	76	268	105	0

# KICK LEFT & RIGHT
137100	1171	78	1192	105	0
137200	488	78	511	105	0

# HOLD LEFT
138110	1231	78	1246	105	0
138120	1214	78	1229	105	0
138130	1194	78	1211	105	0

# HOLD RIGHT
138210	433	78	448	105	0
138220	450	78	467	105	0
138230	468	78	485	105	0

# GET INTO PIPE
139000	414	78	431	105	0

# WALKING IN WORLDMAP
139010	158	84	175	105	0
139020	177	84	194	105	0	


##### RACOON #####
# IDLE LEFT
141110	1579	174	1602	203	0
141120	1579	106	1602	135	0

# IDLE RIGHT
141210	78	174	101	203	0
141220	78	106	101	135	0

# IDLE FRONT
141310	173	174	190	203	0
141320	218	174	235	203	0

# WALK LEFT
142110	1553	174	1576	203	0
142120	1528	174	1551	203	0

# WALK RIGHT
142210	103	174	126	203	0
142220	127	174	152	203	0

# RUN LEFT
143110	1295	174	1320	203	0
143120	1268	174	1293	203	0
143130	1241	174	1266	203	0

# RUN RIGHT
143210	359	174	384	203	0
143220	386	174	411	203	0
143230	413	174	438	203	0

# JUMP WALK LEFT & RIGHT
144110	1400	174	1423	203	0
144120	257	174	280	203	0

# JUMP RUN LEFT (FLY LEFT)
144210	1214	174	1239	203	0
144220	1187	174	1212	203	0
144230	1160	174	1185	203	0

# JUMP RUN RIGHT (FLY RIGHT)
144240	440	174	465	203	0
144250	467	174	492	203	0
144260	494	174	519	203	0

# SIT LEFT & RIGHT 
145100	1135	184	1158	203	0
145200	521	184	544	203	0

# BRACE LEFT & RIGHT
146100	1508	172	1525	203	0
146200	154	172	171	203	0

# KICK LEFT & RIGHT
147100	1016	174	1039	203	0
147200	640	174	663	203	0

# HOLD LEFT
148110	1093	174	1114	203	0
148120	1067	174	1090	203	0
148130	1042	174	1065	203	0

# HOLD RIGHT
148210	566	174	587	203	0
148220	589	174	612	203	0
148230	615	174	638	203	0

# FLOAT LEFT
149210	1374	174	1397	203	0
149220	1322	174	1345	203	0

# FLOAT RIGHT
149230	283	174	306	203	0
149240	334	174	357	203	0

# ATTACK LEFT & RIGHT
149310	78	106	101	135	0
149320	193	174	216	203	0

# WALKING IN WORLDMAP
149410	3	178	20	203	0
149420	22	178	39	203	0




# ani_id	sprite1_id	time1	sprite2_id	time2	...

[ANIMATIONS]
##### DIE #####
998	110000	100


##### SMALL #####
# IDLE
150	121100	100
151	121200	100

# WALK LEFT & RIGHT
250	121100	100	122100	100
251	121200	100	122200	100

# SPEED UP LEFT & RIGHT
260	121100	20	122100	20
261	121200	20	122200	20

# WALKING IN WORLD MAP
271	129010	100	129020	100

# RUN LEFT & RIGHT
350	123110	20	123120	20
351	123210	20	123220	20

# JUMP WALK
450	124110	100
451	124120	100

# JUMP RUN
550	124210	100
551	124220	100

# BRACE LEFT & RIGHT
650	125100	100
651	125200	100

# TRANSFORM LEFT & RIGHT
660	121100	50	131100	50
661	121200	50	131200	50

# KICK LEFT & RIGHT
2250	126100	100
2251	126200	100
 
# HOLD IDLE LEFT & RIGHT
2550	127110	100
2551	127210	100

# HOLD RUN LEFT & RIGHT
2850	127110	100	127120	100
2851	127210	100	127220	100

# HOLD JUMP LEFT & RIGHT
3150	127120	100
3151	127220	100

# GET INTO PIPE
152	128000	100


##### BIG #####
# IDLE
750	131100	100
751	131200	100

# WALK LEFT & RIGHT 
850	131100	100	132110	100	132120	100
851	131200	100	132210	100	132220	100

# SPEED UP LEFT & RIGHT 
860	131100	20	132110	20	132120	20
861	131200	20	132210	20	132220	20

# WALKING IN WORLD MAP
871	139010	100	139020	100

# RUN LEFT & RIGHT
950	133110	20	133120	20	133130	20
951	133210	20	133220	20	133230	20

# JUMP WALK
1050	134110	100
1051	134120	100

# JUMP RUN 
1150	134210	100
1151	134220	100

# SIT LEFT & RIGHT
1250	135100	100
1251	135200	100

# BRACE LEFT & RIGHT
1350	136100	100
1351	136200	100

# KICK LEFT & RIGHT
2350	137100	100
2351	137200	100

# HOLD IDLE LEFT & RIGHT
2650	138110	100
2651	138210	100

# HOLD RUN LEFT & RIGHT
2950	138110	100	138120	100	138130	100
2951	138210	100	138220	100	138230	100

# HOLD JUMP LEFT & RIGHT
3250	138130	100
3251	138230	100

# GET INTO PIPE
752	139000	100


##### RACOON #####
# IDLE
1450	141110	100
1451	141210	100
1452	141310	100

# WALK LEFT & RIGHT 
1550	141110	100	142110	100	142120	100
1551	141210	100	142210	100	142220	100

# SPEED UP LEFT & RIGHT 
1570	141110	20	142110	20	142120	20
1571	141210	20	142210	20	142220	20

