# id	left	top	right	bottom	texture_id

[SPRITES]
##### DIE #####
11000	415	8	432	23	0


##### SMALL #####
# IDLE
12110	1413	9	1426	24	0
12120	253	9	266	24	0

# WALK LEFT & RIGHT
12210	1396	8	1411	23	0
12220	269	8	284	23	0

# RUN LEFT
12311	1340	8	1357	23	0
12312	1322	8	1339	23	0

# RUN RIGHT
12321	322	8	339	23	0
12322	340	8	357	23	0

# JUMP WALK LEFT & RIGHT
12411	1359	8	1376	23	0
12412	303	8	320	23	0

# JUMP RUN LEFT & RIGHT 
12421	1303	8	1320	23	0
12422	359	8	376	23	0

# BRACE LEFT & RIGHT
12510	1378	8	1393	23	0
12520	286	8	301	23	0

# KICK LEFT & RIGHT
12610	1193	8	1210	23	0
12620	469	8	486	23	0

# HOLD LEFT
12711	1230	8	1245	23	0
12712	1213	8	1228	23	0

# HOLD RIGHT
12721	434	8	449	23	0
12722	452	8	467	23	0

# GET INTO PIPE
12800	396	8	413	23	0

# WALKING IN WORLDMAP
12901	219	8	234	23	0
12902	236	8	251	23	0	


##### BIG #####
# IDLE
13110	1468	48	1483	75	0
13120	196	48	211	75	0

# WALK LEFT
13211	1449	48	1466	75	0
13212	1430	48	1447	75	0

# WALK RIGHT
13221	213	48	230	75	0
13222	232	48	249	75	0

# RUN LEFT
13311	1369	48	1390	75	0
13312	1348	48	1369	75	0
13313	1324	48	1345	75	0

# RUN RIGHT
13321	288	48	309	75	0
13322	310	48	331	75	0
13323	333	48	354	75	0

# JUMP WALK LEFT & RIGHT
13411	1392	48	1409	75	0
13412	270	48	287	75	0

# JUMP RUN LEFT & RIGHT
13421	1302	48	1323	75	0
13422	355	48	376	75	0

# SIT LEFT & RIGHT 
13510	1286	56	1301	75	0
13520	378	56	393	75	0

# BRACE LEFT & RIGHT
13610	1411	46	1428	75	0
13620	251	46	268	75	0

# KICK LEFT & RIGHT
13710	1171	48	1192	75	0
13720	488	48	511	75	0

# HOLD LEFT
13811	1231	48	1246	75	0
13812	1214	48	1229	75	0
13813	1194	48	1211	75	0

# HOLD RIGHT
13821	433	48	448	75	0
13822	450	48	467	75	0
13823	468	48	485	75	0

# GET INTO PIPE
13900	414	48	431	75	0

# WALKING IN WORLDMAP
13901	158	54	175	75	0
13902	177	54	194	75	0	


##### RACOON #####
# IDLE LEFT
14111	1579	141	1602	170	0
14112	1579	106	1602	135	0

# IDLE RIGHT
14121	78	141	101	170	0
14122	78	106	101	135	0

# IDLE FRONT
14131	173	141	190	170	0
14132	218	141	235	170	0

# WALK LEFT
14211	1553	141	1576	170	0
14212	1528	141	1551	170	0

# WALK RIGHT
14221	103	141	126	170	0
14222	127	141	152	170	0

# RUN LEFT
14311	1295	141	1320	170	0
14312	1268	141	1293	170	0
14313	1241	141	1266	170	0

# RUN RIGHT
14321	359	141	384	170	0
14322	386	141	411	170	0
14323	413	141	438	170	0

# JUMP WALK LEFT & RIGHT
14411	1400	141	1423	170	0
14412	257	141	280	170	0

# JUMP RUN LEFT (FLY LEFT)
14421	1214	141	1239	170	0
14422	1187	141	1212	170	0
14423	1160	141	1185	170	0

# JUMP RUN RIGHT (FLY RIGHT)
14424	440	141	465	170	0
14425	467	141	492	170	0
14426	494	141	519	170	0

# SIT LEFT & RIGHT 
14510	1135	151	1158	170	0
14520	521	151	544	170	0

# BRACE LEFT & RIGHT
14610	1508	139	1525	170	0
14620	154	139	171	170	0

# KICK LEFT & RIGHT
14710	1016	141	1039	170	0
14720	640	141	663	170	0

# HOLD LEFT
14811	1093	141	1114	170	0
14812	1067	141	1090	170	0
14813	1042	141	1065	170	0

# HOLD RIGHT
14821	566	141	587	170	0
14822	589	141	612	170	0
14823	615	141	638	170	0

# FLOAT LEFT
14921	1374	141	1397	170	0
14922	1322	141	1345	170	0

# FLOAT RIGHT
14923	283	141	306	170	0
14924	334	141	357	170	0

